epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,259.21,1.00783,2.95178,0.31787,0.7151,1.16271,0.83521,0.7585,0.85037,0.55776,0.80058,0.65477,0.69656,0.35651,1.25649,3.43719,0.33752,0.87421,1.25556,0.0667452,3.32581e-06,3.32581e-06
2,512.953,0.9773,2.75645,0.30821,0.67599,1.14041,0.86617,0.80088,0.89471,0.62182,0.83285,0.71537,0.76593,0.45018,1.13328,2.88799,0.30746,0.73512,1.1585,0.0334151,6.49781e-06,6.49781e-06
3,766.348,0.95735,2.58463,0.30096,0.64295,1.1237,0.88652,0.83344,0.92239,0.65475,0.84882,0.76354,0.81222,0.50586,1.08069,2.4742,0.28337,0.64505,1.11605,8.42924e-05,9.04782e-06,9.04782e-06
4,1019.72,0.94364,2.4732,0.29661,0.62489,1.11464,0.88605,0.83486,0.92269,0.65374,0.85249,0.76332,0.81249,0.50703,1.08676,2.46645,0.28348,0.64206,1.12084,7.95954e-06,7.95954e-06,7.95954e-06
5,1273.18,0.93986,2.4399,0.29555,0.61929,1.1111,0.88562,0.83627,0.92265,0.65585,0.84928,0.76201,0.81136,0.50756,1.08163,2.47041,0.28277,0.63816,1.11544,6.57963e-06,6.57963e-06,6.57963e-06
6,1526.64,0.93568,2.40777,0.29311,0.6147,1.10934,0.88681,0.83623,0.92317,0.65325,0.85106,0.76194,0.81107,0.50722,1.0926,2.46774,0.28283,0.6397,1.11972,5.05e-06,5.05e-06,5.05e-06
7,1780.04,0.93449,2.40062,0.29317,0.61257,1.10776,0.89125,0.83486,0.92382,0.65513,0.84957,0.76685,0.81312,0.50766,1.09075,2.45688,0.2824,0.63875,1.11948,3.52037e-06,3.52037e-06,3.52037e-06
8,2033.55,0.93369,2.39691,0.29262,0.61171,1.10666,0.89373,0.83234,0.92349,0.65562,0.85011,0.76905,0.81522,0.50806,1.08921,2.46168,0.28221,0.63548,1.11912,2.14046e-06,2.14046e-06,2.14046e-06
9,2287.19,0.93423,2.38398,0.29235,0.61061,1.10677,0.88904,0.83633,0.9238,0.65324,0.85046,0.76669,0.81431,0.50776,1.0969,2.45879,0.28198,0.63791,1.12073,1.04537e-06,1.04537e-06,1.04537e-06
10,2540.63,0.93404,2.38692,0.29266,0.61075,1.108,0.89216,0.83438,0.92391,0.65589,0.84913,0.76669,0.81356,0.50753,1.08941,2.45734,0.28195,0.63591,1.11866,3.4227e-07,3.4227e-07,3.4227e-07
